,text,sentiment
0,"['bluster', 'hubris', 'wework', 'still', 'future']",3
1,"['top', 'story', 'wework', 'board', 'member', 'seek', 'remove', 'adam', 'neumann', 'ceo', 'wsj', 'see']",2
2,"['many', 'company', 'take', 'care', 'one', 'many', 'two', 'get', 'three', 'align', 'brutally', 'hard', 'easy', 'way', 'appease', 'one', 'group', 'expense', 'another', 'reward', 'find', 'balance', 'great', 'wework']",2
3,"['wework', 'space', 'like']",1
4,"['wework', 'ipo', 'beware', 'master', 'unicorn', 'wrangler', 'banyanhill', 'twitter', 'news', 'noticias', 'bitcoin', 'cryptocurrency', 'forexhttp']",2
5,"['gerald_bader', 'airbnb', 'wework', 'problem', 'via', 'kate', 'clark', 'via', 'twitter']",2
6,"['true', 'didnt', 'build', 'change']",2
7,"['fastcompany', 'venture', 'capital', 'investor', 'need', 'learn', 'mistake', 'wework', 'uber']",1
8,"['funny', 'medium', 'make', 'look', 'like', 'bold', 'encourage', 'move', 'later', 'thing', 'not', 'go', 'right', 'wework', 'ceo', 'medium', 'contemplates', 'go', 'wrong']",1
9,"['softbank', 'push', 'wework', 'postpone', 'contentious', 'ipo']",2
10,"['airbnb', 'wework', 'problem', 'kateclarktweets']",1
11,"['softbank', 'wework', 'financing', 'would', 'lead', 'adam', 'neumann', 'exit-sources', 'reuters', 'via', 'nyt']",2
12,"['day', 'imperious', 'dictatorial', 'ceo', 'rule', 'fear', 'intimidation', 'back', 'board', 'director', 'yes', 'men', 'crony', 'may', 'soon', 'ceo', 'major', 'business', 'show', 'door', 'week', 'wework', 'adam', 'neumann', 'ebay', 'devin', 'wenig', 'juul', 'kevin', 'burn']",1
13,"['big', 'question', 'u', 'market', 'whether', 'wework', 'meltdown', 'tip', 'point', 'high', 'growth', 'profit', 'private', 'company', 'fallout', 'certainly', 'continue', 'massive', 'underperformance', 'among', 'fund', 'invest', 'company', 'one', 'mutual', 'fund', 'stand', 'msegx', '1/2']",1
14,"['creator', 'creative', 'type', 'personality', 'test', 'illuminates', 'four', 'stage', 'creative', 'process']",2
15,"['venezuelan', 'government', 'could', 'seek', 'confiscate', 'exile', 'home', 'wework', 'insider', 'slam', 'neumann', 'daily', 'digest']",1
